32227, the Ville, <all>, bed, 0
32237, the Ville, <all>, desk, 0
32247, the Ville, <all>, closet, 0
32257, the Ville, <all>, shelf, 0
32267, the Ville, <all>, easel, 0
32277, the Ville, <all>, bathroom sink, 1
32208, the Ville, <all>, shower, 10
32218, the Ville, <all>, toilet, 1
32228, the Ville, <all>, kitchen sink, 1
32238, the Ville, <all>, refrigerator, 0
32248, the Ville, <all>, toaster, 0
32258, the Ville, <all>, cooking area, 0
32268, the Ville, <all>, common room table, 0
32278, the Ville, <all>, common room sofa, 0
32209, the Ville, <all>, guitar, 0
32219, the Ville, <all>, microphone, 0
32229, the Ville, <all>, bar customer seating, 0
32239, the Ville, <all>, behind the bar counter, 0
32249, the Ville, <all>, behind the cafe counter, 0
32259, the Ville, <all>, cafe customer seating, 0
32269, the Ville, <all>, piano, 0
32279, the Ville, <all>, blackboard, 0
32210, the Ville, <all>, game console, 0
32220, the Ville, <all>, computer desk, 0
32230, the Ville, <all>, computer, 0
32240, the Ville, <all>, library sofa, 0
32250, the Ville, <all>, bookshelf, 0
32260, the Ville, <all>, library table, 0
32270, the Ville, <all>, classroom student seating, 0
32280, the Ville, <all>, classroom podium, 0
32211, the Ville, <all>, behind the pharmacy counter, 0
32221, the Ville, <all>, behind the grocery counter, 0
32231, the Ville, <all>, pharmacy store shelf, 0
32241, the Ville, <all>, grocery store shelf, 0
32251, the Ville, <all>, pharmacy store counter, 0
32261, the Ville, <all>, grocery store counter, 0
32271, the Ville, <all>, supply store product shelf, 0
32281, the Ville, <all>, behind the supply store counter, 0
32212, the Ville, <all>, supply store counter, 0
32222, the Ville, <all>, dorm garden, 0
32232, the Ville, <all>, house garden, 0
32242, the Ville, <all>, garden chair, 0
32252, the Ville, <all>, park garden, 0
32262, the Ville, <all>, harp, 0
32272, the Ville, <all>, lifting weight, 0
32282, the Ville, <all>, pool table, 0
32292, the Ville, <all>, water storage, 100
